true_class,predicted_class,confidence,gradcam_region,xai_explanation,image_idx
annual crop land,annual crop land,100.0,"bottom-left region, strongly activated","The model likely predicted ""annual crop land"" due to the distinct geometric patterns and variations in color visible in the bottom-left region. This area shows rectangular plots typical of agricultural fields, and the varying shades of green and brown suggest different stages of crop growth or different crop types. The orderly arrangement and uniformity in shape further support the classification as cultivated land for annual crops.",0
annual crop land,annual crop land,100.0,"bottom-right region, strongly activated","The model likely predicted ""annual crop land"" because the bottom-right region shows a regular, grid-like pattern typical of cultivated fields. The area features distinct, parallel lines that suggest the presence of agricultural rows, a characteristic of managed crop land. The texture and uniformity in this region align with patterns seen in fields used for planting crops on an annual cycle.",1
annual crop land,annual crop land,100.0,"bottom-right region, strongly activated","The model likely predicted ""annual crop land"" due to the distinct, linear patterns visible in the bottom-right region of the image. These patterns often indicate human-made agricultural fields, which are characteristic of crop lands. Additionally, the texture in this section might display uniformity typical of planted crops at an early growth stage. These features suggest organized agricultural activity, reinforcing the prediction.",2
annual crop land,annual crop land,99.5,"bottom-left region, strongly activated","The model likely predicted ""annual crop land"" because the bottom-left region shows distinct rectangular patches with uniform coloring and straight edges, which are typical indicators of agricultural fields. These features suggest systematic human cultivation patterns commonly found in crop lands. Additionally, the clear division and organization in the area are consistent with land allocated for annual crop production.",3
annual crop land,annual crop land,99.9,"bottom-right region, strongly activated","The model likely predicted ""annual crop land"" due to the presence of distinct, linear patterns and uniform texture in the bottom-right region of the image. These features suggest the presence of row-planted crops typically found in agricultural fields. The consistent color and pattern spacing are indicative of cultivated land, which matches characteristics of annual crop areas.",4
annual crop land,annual crop land,99.9,"top-left region, strongly activated","The model likely predicted ""annual crop land"" because the top-left region of the image displays distinct rectangular plots, which are characteristic of agricultural fields. These plots may have uniform textures and rows that suggest planted crops, typical of cultivated lands. The arrangement and layout of these rectangles suggest human planning and activity consistent with annual crop farming.",5
annual crop land,annual crop land,100.0,"bottom-left region, strongly activated","The model likely predicted ""annual crop land"" because the bottom-left region reveals a distinct patchwork pattern, characteristic of agricultural fields. The green area suggests active vegetation, typical of crops in growth stages. Regular, geometric shapes are evident, indicating human cultivation, a common trait in farmed land.",6
annual crop land,annual crop land,98.7,"bottom-right region, strongly activated","The model likely predicted ""annual crop land"" due to the distinct, regular grid pattern evident in the highlighted bottom-right region, which is characteristic of agricultural fields. The visible lines suggest structured planting rows or irrigation systems, commonly associated with managed crop areas. Additionally, the contrasting shades within the region may indicate different stages of crop growth or land management practices.",7
annual crop land,annual crop land,100.0,"bottom-right region, strongly activated","The model likely predicted ""annual crop land"" due to the geometric, well-defined rectangular patterns observed in the highlighted bottom-right region. These shapes suggest organized agricultural plots, typical for crop cultivation. Additionally, the consistent texture and uniform coloration within these areas are indicative of planted fields commonly found in cropped lands, supporting the model's classification.",8
annual crop land,annual crop land,99.5,"bottom-right region, strongly activated","The model predicted ""annual crop land"" likely due to the regular, geometric patterns evident in the bottom-right region of the image. This area shows uniform, grid-like shapes typical of cultivated fields, which are characteristic of agricultural landscapes. The textures here suggest distinct planting or plowing lines, supporting the identification of this land as used for crops that are replanted annually.",9
