true_class,predicted_class,confidence,lime_description,lime_explanation,image_idx
annual crop land,annual crop land,100.0,"5 important segments in the upper-center, lower-left, middle-center of the image","The model likely predicted ""annual crop land"" due to the presence of geometric, grid-like patterns that are characteristic of agricultural fields. The distinct rectangular shapes and alternating colors in the segments suggest different types or stages of crops, which is a common indicator of cultivated land. The uniformity and repetition of these shapes imply organized planting, typical of annual crop farming practices.",0
annual crop land,annual crop land,100.0,"5 important segments in the middle-center, middle-left, upper-center of the image","The model likely predicted ""annual crop land"" due to the presence of distinct rectangular patterns, which are characteristic of agricultural fields. These segments, particularly in the middle-center and middle-left, exhibit uniform texture and color that suggest cultivated plots. The edges are sharply defined, typical of boundaries between different fields. The overall organization of these segments indicates consistent human management, aligning with features of crop land.",1
annual crop land,annual crop land,100.0,"5 important segments in the middle-left, lower-left, upper-left of the image","The model likely identified the area as ""annual crop land"" due to the repetitive, grid-like patterns visible in the image, common in agricultural fields. The focus on the middle-left, lower-left, and upper-left segments suggests attention to these structured, linear arrangements indicative of planted rows. Additionally, the variation in texture and tone within these segments aligns with crop rotation and field boundaries typically seen in annually cultivated lands.",2
annual crop land,annual crop land,99.5,"5 important segments in the upper-right, lower-left, upper-center of the image","The model likely predicted ""annual crop land"" because of the presence of distinct rectangular and angular patterns, typical of agricultural plots, visible in the image. These areas are usually characterized by consistent shapes and clear boundaries that suggest human alteration of the landscape. The important segments highlight these features, especially in the upper-right and lower-left, which align with how crops are spatially organized. The texture in these segments often appears uniform, indicating cultivated land prepared for planting or recently harvested.",3
annual crop land,annual crop land,99.9,"5 important segments in the lower-center, middle-left, middle-right of the image","The model likely predicted ""annual crop land"" due to the distinct rectangular parceling visible in the image, which is characteristic of agricultural fields. The texture within these segmented areas appears consistent and uniform, suggesting the presence of cultivated crops. The spatial arrangement of the fields, with clearly defined edges and similar sizes, aligns with patterns typically seen in managed agricultural landscapes. These features collectively support the classification of the area as ""annual crop land.""",4
annual crop land,annual crop land,99.9,"5 important segments in the upper-left, middle-right, upper-right of the image","The model likely predicted ""annual crop land"" due to the presence of distinct, rectilinear patterns and clear field boundaries visible in the image. These segments are concentrated in prominent areas of the image, including the upper-left, middle-right, and upper-right, indicating managed agricultural plots. The texture and uniformity within these sections suggest cultivated land, typical of annual cropping systems, contrasting with more irregular patterns associated with natural or non-agricultural land.",5
annual crop land,annual crop land,100.0,"5 important segments in the lower-left, lower-center, upper-right of the image","The model likely predicted ""annual crop land"" due to the presence of geometric, patchwork patterns in the lower-left, lower-center, and upper-right segments. These areas show distinct, organized rectangles and trapezoids typical of agricultural fields. The clear, defined edges and uniform colors suggest systematic cultivation and crop variation, which are characteristic features of crop lands. The combination of shapes and their spatial arrangement aligns with common agricultural layouts seen in satellite imagery.",6
annual crop land,annual crop land,98.7,"5 important segments in the lower-right, upper-center, upper-right of the image","The model likely predicted ""annual crop land"" due to the visible patterns and textures in the important image segments. The lower-right area shows a geometric division consistent with fields, often indicative of agricultural practices. In the upper-center and upper-right, the consistent color and texture suggest uniformity typical of crops in growth stages. These features collectively align with characteristics common in agricultural areas.",7
annual crop land,annual crop land,100.0,"5 important segments in the middle-left, middle-center, upper-center of the image","The model likely predicted ""annual crop land"" due to the distinct rectangular shapes visible in the image, indicative of agricultural plots typically associated with crop farming. The uniform color and texture of the middle-left, middle-center, and upper-center segments suggest cultivated fields, which are characteristic of annual crops. These plots have clear boundaries and show consistent patterns often seen in areas dedicated to growing seasonal crops.",8
annual crop land,annual crop land,99.5,"5 important segments in the upper-left, lower-center, middle-right of the image","The model likely predicted ""annual crop land"" due to the geometric and grid-like patterns visible in the image, which are characteristic of agricultural fields. These segments show distinct linear divisions and consistent texture, indicating human cultivation. The presence of these patterns in the important segments suggests the land is organized and maintained, typical of areas used for growing crops annually.",9
annual crop land,annual crop land,99.9,"5 important segments in the upper-right, upper-center, upper-left of the image","The model likely predicted ""annual crop land"" due to the geometric patterns and uniform texture visible in the image, which are common characteristics of cultivated fields. The important segments in the upper areas show distinct linear patterns typical of plowed rows or planted crops. These segments might also exhibit a consistency in color and texture indicative of cultivated land, reinforcing the model's prediction of this being an area used for crop farming.",10
annual crop land,annual crop land,100.0,"5 important segments in the middle-center, upper-center, lower-left of the image","The model likely predicted ""annual crop land"" due to the distinct rectangular patterns and organized blocks visible in the image, typical of agricultural fields. The segmentation highlights areas in the middle-center, upper-center, and lower-left, where these shapes are prominent. The uniformity and alignment suggest cultivation practices, which are characteristic of crop planting areas. Additionally, the variation in color tones within these segments may indicate different crop growth stages or types, reinforcing the prediction.",11
annual crop land,annual crop land,100.0,"5 important segments in the upper-center, upper-left, lower-right of the image","The model likely predicted ""annual crop land"" due to the presence of distinct rectangular and geometric shapes that resemble agricultural plots, with varying shades indicating different types of crops or stages of growth. The segmentation highlights in areas such as the upper-center and upper-left suggest these are key identifiers. The patchwork pattern, common in crop fields, and the contrast between light and dark segments further support this classification.",12
